Date,Region,Temperature (°C),Rainfall (mm),Humidity (%),Crop Yield Impact Score,fruit_Commodity,fruit_Price per Unit (LKR/kg),vegitable_Commodity,vegitable_Price per Unit (LKR/kg)
1/1/2020,Ampara,34.4,384,69.3,1.67,Banana,282.26,Winged Bean,376.43
1/1/2020,Anuradhapura,33,21.7,63.5,1.64,Banana,230.28,Winged Bean,210.15
1/1/2020,Badulla,35.7,121.8,73.5,1.73,Banana,317.02,Winged Bean,362.29
1/1/2020,Batticaloa,30.5,243.7,52.7,1.62,Banana,125.04,Winged Bean,169.92
1/1/2020,Colombo,35.4,3.2,93.1,0.54,Banana,117.3,Winged Bean,372.34
1/1/2020,Galle,22.6,198.9,85.1,1.29,Banana,339.48,Winged Bean,341.98
1/1/2020,Gampaha,37,16.3,76.3,1.2,Banana,113.04,Winged Bean,112.84
1/1/2020,Hambantota,26.8,190.5,83.5,0.93,Banana,356.04,Winged Bean,287.12
1/1/2020,Jaffna,26,115.5,60.7,0.99,Banana,111.74,Winged Bean,266.16
1/1/2020,Kalutara,30.7,71.2,75.3,1.57,Banana,470.41,Winged Bean,440.56
1/1/2020,Kandy,37.2,164.4,84.6,1.81,Banana,318.63,Winged Bean,468.15
1/1/2020,Kegalle,22.6,41.9,93.8,1.96,Banana,288.77,Winged Bean,429
1/1/2020,Kilinochchi,20.4,168.1,87.3,1.98,Banana,202.2,Winged Bean,359.81
1/1/2020,Kurunegala,29.5,398.9,91.1,1.08,Banana,98.5,Winged Bean,485.58
1/1/2020,Mannar,22.3,327.3,88.8,0.86,Banana,191.85,Winged Bean,347.2
1/1/2020,Matale,31.7,398.3,69.7,1.67,Banana,298.54,Winged Bean,386.64
1/1/2020,Matara,31,179.8,85.4,s,Banana,96.48,Winged Bean,232.32
1/1/2020,Monaragala,33,215.5,94,1.92,Banana,278.12,Winged Bean,219.65
1/1/2020,Mullaitivu,28.2,86.3,59.4,1.53,Banana,371.56,Winged Bean,71.04
1/1/2020,Nuwara Eliya,32.4,65.8,80.8,1.96,Banana,107.07,Winged Bean,470.59
1/1/2020,Polonnaruwa,37.2,327.4,64.4,1.94,Banana,338.81,Winged Bean,182.84
1/1/2020,Puttalam,23.4,318,58.9,1.19,Banana,348.69,Winged Bean,349.24
1/1/2020,Ratnapura,26.8,197.1,51.9,1.21,Banana,149.01,Winged Bean,369.31
1/1/2020,Trincomalee,34.1,292.7,94.5,1.42,Banana,230.28,Winged Bean,272.42
1/1/2020,Vavuniya,28.1,208.9,90.4,0.81,Banana,191.92,Winged Bean,176.62
1/1/2020,Ampara,34.4,384,69.3,1.67,Papaya,316.84,Bitter Melon,312.97
1/1/2020,Anuradhapura,33,21.7,63.5,1.64,Papaya,354.29,Bitter Melon,222.96
1/1/2020,Badulla,35.7,121.8,73.5,1.73,Papaya,59.69,Bitter Melon,465.38
1/1/2020,Batticaloa,30.5,243.7,52.7,1.62,Papaya,77.7,Bitter Melon,113.11
1/1/2020,Colombo,35.4,3.2,93.1,0.54,Papaya,153.98,Bitter Melon,121.33
1/1/2020,Galle,22.6,198.9,85.1,1.29,Papaya,154.45,Bitter Melon,259.75
1/1/2020,Gampaha,37,16.3,76.3,1.2,Papaya,150.36,Bitter Melon,328.38
1/1/2020,Hambantota,26.8,190.5,83.5,0.93,Papaya,466.2,Bitter Melon,203.75
1/1/2020,Jaffna,26,115.5,60.7,0.99,Papaya,322.18,Bitter Melon,75.28
1/1/2020,Kalutara,30.7,71.2,75.3,1.57,Papaya,311.9,Bitter Melon,342.03
1/1/2020,Kandy,37.2,164.4,84.6,1.81,Papaya,422.22,Bitter Melon,72.35
1/1/2020,Kegalle,22.6,41.9,93.8,1.96,Papaya,371.41,Bitter Melon,279.19
1/1/2020,Kilinochchi,20.4,168.1,87.3,1.98,Papaya,465.25,Bitter Melon,314.79
1/1/2020,Kurunegala,29.5,398.9,91.1,1.08,Papaya,449.31,Bitter Melon,379.05
1/1/2020,Mannar,22.3,327.3,88.8,0.86,Papaya,175.44,Bitter Melon,497.12
1/1/2020,Matale,31.7,398.3,69.7,1.67,Papaya,200.65,Bitter Melon,252.32
1/1/2020,Matara,31,179.8,85.4,1.48,Papaya,269.93,Bitter Melon,276.78
1/1/2020,Monaragala,33,215.5,94,1.92,Papaya,318.16,Bitter Melon,164.74
1/1/2020,Mullaitivu,28.2,86.3,59.4,1.53,Papaya,443.86,Bitter Melon,231.11
1/1/2020,Nuwara Eliya,32.4,65.8,80.8,1.96,Papaya,166.43,Bitter Melon,318.55
1/1/2020,Polonnaruwa,37.2,327.4,64.4,1.94,Papaya,57.87,Bitter Melon,173.26
1/1/2020,Puttalam,23.4,318,58.9,1.19,Papaya,122.79,Bitter Melon,418.06
1/1/2020,Ratnapura,26.8,197.1,51.9,1.21,Papaya,90.58,Bitter Melon,308.45
1/1/2020,Trincomalee,34.1,292.7,94.5,1.42,Papaya,337.93,Bitter Melon,417.69
1/1/2020,Vavuniya,28.1,208.9,90.4,0.81,Papaya,485.33,Bitter Melon,487.9
1/1/2020,Ampara,34.4,384,69.3,1.67,Mango,395.71,Brinjal,489.55
1/1/2020,Anuradhapura,33,21.7,63.5,1.64,Mango,117.3,Brinjal,404.84
1/1/2020,Badulla,35.7,121.8,73.5,1.73,Mango,175.89,Brinjal,453.62
1/1/2020,Batticaloa,30.5,243.7,52.7,1.62,Mango,118.19,Brinjal,305.07
1/1/2020,Colombo,35.4,3.2,93.1,0.54,Mango,359.07,Brinjal,269.4
1/1/2020,Galle,22.6,198.9,85.1,1.29,Mango,351.44,Brinjal,202.09
1/1/2020,Gampaha,37,16.3,76.3,1.2,Mango,365.85,Brinjal,441.63
1/1/2020,Hambantota,26.8,190.5,83.5,0.93,Mango,136.42,Brinjal,84.86
1/1/2020,Jaffna,26,115.5,60.7,0.99,Mango,121.66,Brinjal,363.74
1/1/2020,Kalutara,30.7,71.2,75.3,1.57,Mango,160.14,Brinjal,162.46
1/1/2020,Kandy,37.2,164.4,84.6,1.81,Mango,299.79,Brinjal,271.52
1/1/2020,Kegalle,22.6,41.9,93.8,1.96,Mango,213.72,Brinjal,257.37
1/1/2020,Kilinochchi,20.4,168.1,87.3,1.98,Mango,485.01,Brinjal,75.63
1/1/2020,Kurunegala,29.5,398.9,91.1,1.08,Mango,293.06,Brinjal,423.57
1/1/2020,Mannar,22.3,327.3,88.8,0.86,Mango,277.81,Brinjal,281.44
1/1/2020,Matale,31.7,398.3,69.7,1.67,Mango,81.5,Brinjal,268.18
1/1/2020,Matara,31,179.8,85.4,1.48,Mango,438.87,Brinjal,377.51
1/1/2020,Monaragala,33,215.5,94,1.92,Mango,293.46,Brinjal,86.46
1/1/2020,Mullaitivu,28.2,86.3,59.4,1.53,Mango,375.44,Brinjal,434.22
1/1/2020,Nuwara Eliya,32.4,65.8,80.8,1.96,Mango,319.1,Brinjal,429.5
1/1/2020,Polonnaruwa,37.2,327.4,64.4,1.94,Mango,158.35,Brinjal,326.32
1/1/2020,Puttalam,23.4,318,58.9,1.19,Mango,64.82,Brinjal,328.93
1/2/2020,Ratnapura,26.8,197.1,51.9,1.21,Mango,118.93,Brinjal,236.05
1/2/2020,Trincomalee,34.1,292.7,94.5,1.42,Mango,221.35,Brinjal,368.64
1/2/2020,Vavuniya,28.1,208.9,90.4,0.81,Mango,493.76,Brinjal,211.49
1/2/2020,Ampara,34.4,384,69.3,1.67,Pineapple,106.81,Long Purple Eggplant,344.09
1/2/2020,Anuradhapura,33,21.7,63.5,1.64,Pineapple,200.14,Long Purple Eggplant,331.72
1/2/2020,Badulla,35.7,121.8,73.5,1.73,Pineapple,327.25,Long Purple Eggplant,349.8
1/2/2020,Batticaloa,30.5,243.7,52.7,1.62,Pineapple,110.39,Long Purple Eggplant,91.04
1/2/2020,Colombo,35.4,3.2,93.1,0.54,Pineapple,67.81,Long Purple Eggplant,229.23
1/2/2020,Galle,22.6,198.9,85.1,1.29,Pineapple,409.3,Long Purple Eggplant,453.34
1/2/2020,Gampaha,37,16.3,76.3,1.2,Pineapple,176.27,Long Purple Eggplant,225.9
1/2/2020,Hambantota,26.8,190.5,83.5,0.93,Pineapple,492.7,Long Purple Eggplant,207.85
1/2/2020,Jaffna,26,115.5,60.7,0.99,Pineapple,393.06,Long Purple Eggplant,432.47
1/2/2020,Kalutara,30.7,71.2,75.3,1.57,Pineapple,51.18,Long Purple Eggplant,213.76
1/2/2020,Kandy,37.2,164.4,84.6,1.81,Pineapple,219.08,Long Purple Eggplant,100.71
1/2/2020,Kegalle,22.6,41.9,93.8,1.96,Pineapple,354.64,Long Purple Eggplant,202.88
1/2/2020,Kilinochchi,20.4,168.1,87.3,1.98,Pineapple,104.05,Long Purple Eggplant,101.26
1/2/2020,Kurunegala,29.5,398.9,91.1,1.08,Pineapple,497.56,Long Purple Eggplant,115.21
1/2/2020,Mannar,22.3,327.3,88.8,0.86,Pineapple,408.15,Long Purple Eggplant,272.6
1/2/2020,Matale,31.7,398.3,69.7,1.67,Pineapple,95.32,Long Purple Eggplant,324.88
